snames,year,nia_sw,nia_gw,nia_others,tnia,tgia
Andhra Pradesh,1950,9.50517401,2.28052551,1.19844398,10.85775864,10.58264638
Andhra Pradesh,1951,9.71590343,2.48614666,0.95326181,10.95981209,10.87348152
Andhra Pradesh,1952,9.70951769,2.4876726,0.984364,10.9978218,10.9297722
Andhra Pradesh,1953,10.44627244,2.55023637,0.84702967,11.38677043,11.42700647
Andhra Pradesh,1954,10.45026353,2.56587731,0.91690861,11.50079954,11.70376894
Andhra Pradesh,1955,11.02178726,2.57083663,0.89307706,11.84965574,12.0274403
Andhra Pradesh,1956,10.98746391,2.50483949,0.88944174,11.73250254,12.06027653
Andhra Pradesh,1957,11.32510991,2.60097405,0.86843767,12.05688673,12.49183835
Andhra Pradesh,1958,11.51748033,2.55061785,0.9233714,12.18445355,12.64194681
Andhra Pradesh,1959,11.76971706,2.70206794,0.89226921,12.5156066,12.87649128
Andhra Pradesh,1960,11.91818552,2.78103562,0.98557577,12.84051148,13.12510841
Andhra Pradesh,1961,12.06425932,2.80468777,0.97668943,12.95662332,13.3502711
Andhra Pradesh,1962,12.46256985,2.91798923,0.97063056,13.36327509,13.81466915
Andhra Pradesh,1963,12.46895559,2.96948989,1.00294452,13.47938693,13.93663227
Andhra Pradesh,1964,12.77387468,3.08050242,1.01869758,13.85011173,14.40103032
Andhra Pradesh,1965,12.14567751,3.30100154,0.99971313,13.71681742,14.49484811
Andhra Pradesh,1966,12.50886647,3.50776715,0.8244099,14.00996076,15.32982641
Andhra Pradesh,1967,12.56075061,3.4757223,0.94760687,14.15887549,15.57844355
Andhra Pradesh,1968,12.62620444,4.12043426,0.96537954,15.104432,16.64327543
Andhra Pradesh,1969,13.30149645,4.26387313,0.95164611,15.72300089,17.34221794
Andhra Pradesh,1970,13.52978665,4.53472845,0.91529291,16.19473778,17.91450644
Andhra Pradesh,1971,13.44916669,4.68465259,0.97628551,16.42539942,18.02708779
Andhra Pradesh,1972,13.26238379,4.94558927,0.91084974,16.57535551,18.31792293
Andhra Pradesh,1973,13.54175992,5.06728342,0.92821849,16.94608031,18.89490232
Andhra Pradesh,1974,13.61599414,5.42816953,0.97830513,17.55163219,19.57977217
Andhra Pradesh,1975,14.17873748,5.51018909,0.96376385,18.0119141,20.33969624
Andhra Pradesh,1976,14.17793927,5.75548483,0.92902634,18.30141267,20.42882314
Andhra Pradesh,1977,14.75105943,5.94508355,1.0025406,19.02880388,21.61561815
Andhra Pradesh,1978,15.23477924,6.26743953,1.02758392,19.81659407,22.66168647
Andhra Pradesh,1979,14.57146049,6.81487247,0.97143841,20.05871068,23.08386651
Andhra Pradesh,1980,14.74627013,6.75040128,1.03041139,20.16076414,23.35124721
Andhra Pradesh,1981,15.42315857,7.14791007,0.98719147,21.08913817,24.11586217
Andhra Pradesh,1982,15.26271685,7.38061675,0.89792415,21.18702617,24.31287952
Andhra Pradesh,1983,16.20142063,7.39778364,0.91286936,21.84204274,25.2510574
Andhra Pradesh,1984,15.47663914,7.69381706,0.99123071,21.87380427,25.60240501
Andhra Pradesh,1985,15.12223057,7.78918865,1.01061909,21.79830554,25.46355468
Andhra Pradesh,1986,15.30342594,7.94330915,1.04010558,22.16486489,26.15592995
Andhra Pradesh,1987,14.71035034,8.26452067,1.14229847,22.34814456,26.29478028
Andhra Pradesh,1988,16.00905021,8.74328606,1.13866315,23.84406077,28.39911324
Andhra Pradesh,1989,15.92922846,8.94585532,1.11321591,24.03515065,28.67915934
Andhra Pradesh,1990,16.28124238,9.42080585,1.18430662,25.00465847,29.64829708
Andhra Pradesh,1991,16.58855612,9.93276055,1.23116186,25.96479404,30.80976128
Andhra Pradesh,1992,16.09605592,10.26961302,1.29700156,26.18816614,31.31684642
Andhra Pradesh,1993,16.21020102,10.5274978,1.38748064,26.73123631,32.0171962
Andhra Pradesh,1994,16.40736075,11.02915237,1.42706524,27.59556659,33.13925693
Andhra Pradesh,1995,16.1543258,11.32900066,1.40040623,27.80540099,33.47043372
Andhra Pradesh,1996,15.90847481,12.12935906,1.36849619,28.69576532,35.66295541
Andhra Pradesh,1997,15.95956073,12.24990875,1.25458948,28.74679204,35.49595975
Andhra Pradesh,1998,16.04896109,12.9705365,1.34466465,29.90582771,36.90322655
Andhra Pradesh,1999,15.94758747,13.21430629,1.17622813,29.95529239,36.95951722
Andhra Pradesh,2000,14.74946299,12.90110598,1.17501636,28.74418864,35.73847873
Andhra Pradesh,2001,13.88738809,13.42717568,1.75384016,29.64548726,36.76296896
Andhra Pradesh,2002,12.6788868,13.10558267,1.47755581,28.06313803,34.26929218
Andhra Pradesh,2003,13.07001337,13.88,1.73647141,29.70848965,36.6086387
Andhra Pradesh,2004,13.17058878,13.42488676,3.04478285,30.83940855,38.03279271
Andhra Pradesh,2005,15.00728725,13.76021328,2.40981354,31.67666342,39.53434639
Andhra Pradesh,2006,15.24994537,14.35914688,2.42314305,32.66960188,40.69487242
Andhra Pradesh,2007,14.94342985,14.63419855,2.4667669,32.90130488,41.30703348
Andhra Pradesh,2008,15.05597852,14.78488566,2.43162546,33.1350906,41.70013001
